Fitness_at_G150,Trial,Topology
5.497292434,1,r1
6.065830317,2,r1
6.764534521,3,r1
2.903926855,4,r1
1.658338698,5,r1
8.145858911,6,r1
0.941832377,7,r1
5.182885375,8,r1
5.411889855,9,r1
6.912243067,1,r2
3.824484636,2,r2
6.483482708,3,r2
3.085186238,4,r2
5.791668514,5,r2
3.809456419,6,r2
2.787583594,7,r2
4.772599173,8,r2
5.220275386,9,r2
5.237543151,1,hc
7.152738948,2,hc
3.864585712,3,hc
3.428490746,4,hc
11.29917791,5,hc
5.018067557,6,hc
9.710036817,7,hc
3.347926806,8,hc
7.332083135,9,hc
4.134822211,1,fc
12.40142743,2,fc
12.97453318,3,fc
9.959032129,4,fc
13.79979771,5,fc
9.401695414,6,fc
10.69157186,7,fc
10.75167139,8,fc
5.903718132,9,fc
